Gene,Expression levels in AD samples (TPM),,,,,,,,,,,Expression levels in non-AD samples (TPM),,,,,,,,,,,,log2FoldChange,"Average abundance
log2(CPM)",Likelyhood ratio,P value,padj,Chromosome No,Location,
CDH8,8.503401,2.108476,7.963589,4.257956,6.302965,4.292514,14.559523,0.552695,6.067639875,4.37869248958912,,13.755138,19.657061,25.51295,22.240452,14.294996,9.433092,14.791976,12.588809,8.870235,14.246766,15.5391475,5.36204099733099,-1.1261750115815,5.41837018272825,13.9958246277467,0.000183217044198486,0.0180080147921542,chr16,61681146,62070939
CDK14,24.177589,7.158534,8.248321,9.524302,15.666153,13.086668,26.628657,1.59999,13.26127675,8.58562277675367,,30.651941,37.113961,55.391333,74.471047,32.382312,24.753052,36.489951,23.080139,21.414874,38.769854,37.4518464,16.3025276667186,-1.18362435478009,6.31595818523426,16.9324870023158,3.87329963427029e-05,0.00855234344750381,chr7,90095738,90839905
CDK5,29.017492,7.259965,11.010683,11.977406,22.092548,16.110142,24.478879,2.717877,15.583124,9.03141362505532,,30.972051,59.093986,60.708907,77.492958,47.003435,23.582012,43.381191,48.809896,34.347546,32.771779,45.8163761,16.4458882088311,-1.0467251222342,4.88778903037038,16.134400616792,5.90025225122816e-05,0.0104414182729625,chr7,150750899,150755617
CDK5R1,59.188347,15.07545,20.326685,13.211757,24.476418,27.774431,36.680134,2.167399,24.862577625,17.2945740223658,,54.061218,90.713181,99.766023,144.880829,54.348724,26.827486,45.343262,41.910919,37.949611,49.04125,64.4842503,36.277137904016,-1.0195918064935,6.87026375409847,10.9706517097932,0.000925662007655843,0.042939510466693,chr17,30813637,30818274
CDS1,11.157804,2.683236,4.555733,5.961446,6.435072,4.524456,12.154616,0.288415,5.97009725,4.0098472499845,,11.038869,17.714725,23.699688,25.323967,10.478639,14.740124,13.095827,11.561802,8.516273,13.741652,14.9911566,5.62640452697464,-1.07830324347589,4.82958204796806,14.1025501357138,0.000173108931806261,0.0173811803178311,chr4,85504132,85572491
CECR2,2.654137,3.540987,6.732065,3.924075,3.575373,1.232907,3.51918,0.720779,3.237437875,1.83853847086409,,0.868534,2.28131,6.19177,1.732065,0.503706,2.512803,1.855694,2.410971,1.050763,0.631102,2.0038718,1.64885287620494,1.20927483725607,3.8722810770011,16.6357856442373,4.52884244750866e-05,0.00924192602102086,chr22,17840837,18037850
CFTR,2.706868,2.412347,8.803647,1.730832,2.556291,1.122827,3.764799,0.518693,2.952038,2.5681684299008,,0.971828,2.953687,2.84525,2.012875,0.353003,1.432826,2.033356,1.595948,1.171715,0.796069,1.6166557,0.85283210279138,1.65109764230358,0.90887957103308,16.5892861851628,4.64124721369392e-05,0.009247585784586,chr7,117105838,117356025
CHGA,64.822019,23.053092,15.868931,5.682547,32.633564,56.347541,41.059585,2.026007,30.18666075,22.8584673665303,,111.35387,149.363585,132.516434,178.189562,71.473919,163.396482,110.612139,88.240875,49.616266,47.078782,110.1841914,46.0945214117941,-1.39471434457137,6.44403503973081,13.146927243116,0.00028799114148492,0.0231266768111987,chr14,93389425,93401638
CHGB,36.177335,12.674747,16.588382,38.794694,52.990094,39.749841,126.042951,1.652585,40.583828625,38.4537398661701,,91.592214,109.953912,117.633532,191.157301,114.393208,135.339687,123.623008,82.556589,81.4256,102.399356,115.0074407,31.9848500507696,-1.25321291438819,6.97941688905085,10.9821915117178,0.000919915829470617,0.0428055564944752,chr20,5892076,5906007
CHL1,39.116708,9.770035,25.3337,15.748778,24.95108,21.034292,47.045814,2.188783,23.14864875,14.6950356062666,,39.854853,79.808906,88.132925,112.939719,37.287254,33.958496,46.041292,40.051111,25.824434,63.558017,56.7457007,28.3898488142857,-1.07227445813333,7.46888288165004,13.2827240269876,0.000267863013529892,0.0222416636263699,chr3,238279,451090
CHN1,465.27249,96.303119,111.361083,123.585165,170.659204,425.340826,362.100515,23.749331,222.296466625,168.955534201732,,560.801085,1060.875339,903.630254,1335.339031,662.672346,263.459578,601.082352,442.470485,572.883164,789.298229,719.2511863,313.266329861554,-1.34645160723819,9.31452564000559,12.3211286483966,0.000447859821072279,0.0287161010936922,chr2,175664091,175870097
CHRNB2,8.157475,2.411666,3.262429,2.64101,8.158137,7.977957,11.532765,0.479086,5.577565625,3.86453084949903,,11.98822,21.191599,25.033745,31.256327,13.297315,12.83986,17.344154,13.059212,11.499364,10.228316,16.7738112,6.93411325048158,-1.17351136002754,5.34336182205521,13.5672423155822,0.000230167287633775,0.0203977203934477,chr1,154540257,154552502
CHST6,4.707243,2.455448,4.596786,7.661803,4.2516,0.626535,1.800788,0.270672,3.296359375,2.47495733492542,,1.068542,1.335998,0.836789,0.580905,0.320221,3.494179,0.635196,1.772014,0.948241,1.558857,1.2550942,0.906535326920983,1.45552802684495,1.89753161489101,12.2801028618863,0.00045781313691205,0.0289994408615128,chr16,75510949,75529282
CHSY3,1.610564,0.432458,0.592741,0.690142,0.639452,0.930667,1.388745,0.1877,0.809058625,0.47970991440183,,1.13586,3.650433,3.643605,5.513444,1.496016,1.536392,1.344004,1.329293,0.98258,1.879038,2.2510665,1.50129334736777,-1.04045427286675,1.82665546275727,10.879152577178,0.000972527336233757,0.0441468880848941,chr5,129240165,129522327
CLEC2D,8.435199,4.145003,5.478231,14.935225,3.485117,1.681398,7.404159,1.476404,5.880092,4.4203460806411,,2.944058,4.818783,6.650174,2.906249,0.992596,3.89838,4.637597,3.004599,4.064036,0.540873,3.4457345,1.80600384163731,1.12743446464026,2.01896653776012,12.0329822075562,0.000522673845179595,0.0314543009337676,chr12,9817565,9848413
CLIC4,59.286038,60.228505,129.533802,85.786944,57.029535,16.429864,27.765224,19.953436,57.0016685,37.7558824343717,,30.125157,41.236593,53.762161,24.982467,15.681131,62.056199,27.70716,30.688977,40.857953,30.507797,35.7605595,13.9074994608034,1.00945593332038,7.00262194094881,13.4705789754023,0.000242333519372204,0.0210078328699944,chr1,25071848,25170815
CLMN,11.195801,12.846802,22.070203,10.955234,17.145982,3.63832,9.472268,4.958614,11.535403,6.02977019423558,,5.471155,13.141963,9.28035,5.485562,1.923511,8.90175,6.499903,6.729981,8.973084,3.803298,7.0210557,3.18629925929342,1.06653174186455,5.87287400848781,14.8225595417911,0.000118114095778015,0.0143054013688947,chr14,95648277,95786243
CLSTN2,16.442593,1.885903,2.839489,4.833948,2.308603,5.795166,16.970064,0.225863,6.412703625,6.58256123099087,,18.888513,18.435191,33.132586,34.849627,11.246053,12.830253,18.333452,14.121877,10.228392,15.764225,18.7830169,8.5676554170377,-1.32308653146182,6.7357866713247,11.810604051544,0.000588943216997825,0.0334852062604115,chr3,139654027,140296239
CLVS2,6.369497,1.963537,3.63832,2.734738,3.124013,3.782939,4.922835,0.220756,3.344579375,1.85185492796778,,7.314771,11.33453,13.880226,16.280331,5.678397,4.813492,7.494719,5.449657,4.394592,8.733124,8.5373839,4.05080819782792,-1.02604505860423,5.38246987967115,13.336659784253,0.000260267531673293,0.0219325744808437,chr6,123317116,123394072
CLYBL-AS1,0.635136,0.268186,0.518567,0.785632,0.898205,0.0,0.731774,0.150023,0.498440375,0.324847369037451,,0,0.0,0.215023,0.453786,0.0,0.0,0.082719,0.0,0.0,0.0,0.0751528,0.150007267900814,3.20608203108613,-2.85973246966247,15.3189077453535,9.08031004784689e-05,0.0126137589514071,chr13,100378501,100379745
CNGA3,0.893333,2.577668,1.448889,2.828709,2.942975,0.071151,1.10238,0.020891,1.4857495,1.18113262275907,,0.472974,0.456417,0.839409,0.519846,0.155133,0.380428,0.491896,1.358171,0.098709,0.153281,0.4926264,0.375452452732315,1.8464529951817,1.1466688952543,12.1354113672542,0.000494733544046668,0.0304524628976291,chr2,98962618,99015064
CNKSR3,0.697372,0.826766,2.143987,1.127511,0.697135,0.240803,0.39894,0.514216,0.83084125,0.59557991980296,,0.452449,1.086794,0.797958,0.322062,0.205064,0.592291,0.461112,0.481644,0.726357,0.357829,0.548356,0.260864023121455,1.07212296753284,3.23966864384096,11.5805239421217,0.000666461608920468,0.0353380659658775,chr6,154708638,154831793
CNTN5,8.298441,0.80865,1.621667,1.550613,1.590989,1.142039,3.635947,0.169687,2.352254125,2.60142405999436,,8.092673,2.348794,22.329667,14.081269,6.347252,0.97418,15.702144,6.274181,6.99059,6.838714,8.9979464,6.50700158044465,-1.60207303165863,4.05628285656861,14.8719425027901,0.000115061725330314,0.014195709027735,chr11,98891683,100229616
CNTNAP4,22.498853,32.194338,87.325512,21.764821,19.543102,6.365147,28.761138,9.03058,28.435436375,25.3679671363319,,12.080063,29.51776,28.982355,18.229275,9.86745,26.132485,16.828799,17.775581,16.456296,8.59005,18.4460114,7.53516065355332,1.01975124381836,6.15453379391902,12.8765751751372,0.000332720563206498,0.0247021875615863,chr16,76311176,76593135
COL26A1,4.877232,0.672692,0.936976,2.985958,2.416492,5.62106,3.024007,0.426963,2.6201725,1.92257302005337,,5.207204,9.486995,8.922404,18.704242,8.503054,2.953574,11.132329,4.529927,6.239807,6.965304,8.264484,4.42824541624543,-1.29001476624483,3.33871459931844,11.32389809506,0.00076515918512379,0.0387642656620839,chr7,101006101,101202304
COL4A1,14.396835,1.927912,2.135692,9.670225,6.312743,4.469792,3.859035,14.050607,7.102855125,5.03696620794041,,3.52814,5.527083,4.582533,4.656502,2.079132,6.812342,2.18836,3.069167,8.76446,4.799931,4.600765,2.07640843034767,1.52073935705297,4.97786107842034,11.1350980289154,0.000847094534870569,0.0407830859516876,chr13,110801318,110959496
COL4A2-AS1,0.096063,0.173436,0.0,0.317713,0.560166,0.0,0.249542,0.0,0.174615,0.197261127860654,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.26065482873057,-4.07362513850007,19.5698707070154,9.69866953685913e-06,0.00490380318931068,chr13,111154922,111160526
COL4A3,2.680013,0.358064,1.044635,2.669424,0.657914,0.905754,0.452967,2.146436,1.364400875,0.978384677981072,,0.663888,0.817666,0.997086,0.97748,0.25212,0.724145,0.902618,0.37857,1.266285,0.247506,0.7227364,0.340948914804354,1.63227540390472,2.29419606165593,15.9119321124308,6.63590437871286e-05,0.0109918274473168,chr2,228029281,228179508
COL5A2,2.211227,0.779041,1.609683,2.241303,1.295557,1.39417,1.574055,0.488421,1.449182125,0.615084165851294,,2.035138,13.628458,4.068796,13.262763,1.5745,1.817233,3.411979,1.105909,2.593309,3.172555,4.667064,4.71350485138359,-1.12580266739366,3.61288728875124,11.2489351708775,0.0007966870702173,0.0393022906520283,chr2,189896622,190044605
COL6A2,7.83461,8.273693,4.491086,14.436248,3.748375,1.132576,3.223202,8.483195,6.452873125,4.19149340971348,,2.002907,6.168582,3.713722,4.604622,4.370077,6.273122,4.238204,3.346418,1.475158,1.235883,3.7428695,1.7726506004363,1.55848086415206,3.55544321422398,13.2283018776625,0.000275753523451843,0.0227633327690297,chr21,47518011,47552763
COL8A1,2.505843,3.488865,1.789258,3.138372,3.818903,0.709126,0.520633,0.765616,2.092077,1.33267015133528,,1.230502,2.156136,1.471471,0.530138,0.532563,1.617371,0.692107,0.608621,1.318372,0.304574,1.0461855,0.600379860758772,1.47002153762092,2.52614993650674,15.4087124586943,8.65881502139881e-05,0.0123346933905874,chr3,99357319,99518070
COLEC12,23.864266,9.186461,8.331461,24.874631,11.562423,4.594504,10.67056,3.19602,12.03504075,8.12572289146035,,10.51438,5.994995,10.459007,5.990476,3.621153,6.31005,2.281266,10.856698,5.015559,4.116839,6.5160423,3.07835545787805,1.05272848935691,4.38249605922346,17.6089207701319,2.71312667785259e-05,0.00752536218032094,chr18,319361,500722
COX6B1P4,0.062986,0.13227,0.0,0.187989,0.120815,0.0,0.0,0.0,0.0630075,0.0752511575535078,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.003222210923,-4.58322119131137,10.9091626476635,0.000956897698522832,0.0437229763629424,chr8,26693334,26693817
CPLX1,34.102883,19.387274,7.716383,7.915906,21.040169,31.356395,39.621319,6.957188,21.012189625,12.9457320980552,,62.473986,45.674283,64.784443,70.753218,99.589775,63.645193,128.037048,53.002081,58.353517,47.307483,69.3621027,25.5947891361632,-1.32422007044959,6.08135940390749,13.8108213672685,0.000202168449144472,0.0190116817888871,chr4,778745,819986
CR1,0.732992,0.548982,0.578818,0.251324,0.847647,0.178154,0.228924,0.165875,0.4415895,0.269127490800497,,0.089058,0.221619,0.194175,0.084041,0.059692,0.510046,0.18635,0.235107,0.277291,0.034408,0.1891787,0.139727199916321,1.59547184033342,0.505508553536853,12.5105779481641,0.000404654407866035,0.0276753314771084,chr1,207669492,207813992
CREG2,22.395768,5.544922,6.578961,9.873457,8.65153,16.158842,25.529852,0.787466,11.94009975,8.62643115175349,,42.567535,53.463675,73.109187,127.945544,46.53042,21.70862,39.424164,20.085664,22.225988,53.454815,50.0515612,32.1096070956381,-1.68151870198043,6.70423422459624,19.1320921897992,1.21976561527688e-05,0.00535360195536712,chr2,101962013,102004057
CRISPLD2,10.249291,1.702931,3.284413,5.187139,5.485109,2.5366,1.276703,3.850866,4.1966315,2.87173148319566,,2.815704,1.884442,3.317102,1.307045,0.656604,2.225965,2.048369,2.019372,5.334224,1.121942,2.2730769,1.3289295778683,1.36548704105847,3.31073310128856,12.4802618083637,0.000411274552714933,0.0276850231225191,chr16,84853590,84954374
CRYGEP,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.353638,0.572074,0.0,0.0,0.0,1.097598,0.0,0.839708,0.0,0.2863018,0.413987678903558,-5.55590262083182,-3.67669008474392,10.5433221439309,0.00116608631489684,0.0489505573953248,chr2,208972957,208977235
CRYM,82.226746,7.956259,19.837613,10.343369,17.501514,33.681183,66.335255,1.702821,29.948095,29.262212516789,,92.926401,312.216814,261.626243,256.879417,90.286896,39.884753,124.248943,111.808993,63.320179,71.226879,142.4425518,96.8477937813714,-1.89499464259087,5.96453391659428,21.7850888578676,3.04961032295886e-06,0.00224281016855633,chr16,21250195,21314404
CSPG4,5.021746,3.148676,5.501349,3.938542,3.6114,3.292172,2.69269,3.785028,3.873950375,0.949190491029358,,2.218501,2.164525,5.032215,4.373898,2.199075,2.617569,3.114889,4.760863,3.127063,0.978817,3.0587415,1.30361229252355,1.02510422559594,4.3691526923773,12.3420429361827,0.000442870100924223,0.0285429144623934,chr15,75966663,76005189
CT45A2,1.191683,0.257907,0.336126,1.54247,0.154881,0.0,0.636742,0.091043,0.5263565,0.560628064603823,,0.159949,0.106437,0.150067,0.431358,0.189198,0.096124,0.0,0.0,0.0,0.0,0.1133133,0.134221629832527,2.31509517130578,-2.0169078440385,10.6017970357833,0.001129778000501,0.0482122552892922,chrX,134866214,134874614
CTA-392E5.1,0.861378,0.871809,1.41576,1.180346,0.654241,0.0,0.727268,0.39696,0.76347025,0.439325577139958,,0,0.323746,0.206359,0.0,0.0,0.408398,0.0,0.0,0.0,0.0,0.0938503,0.158501891927054,3.38915137983421,-2.54293718590275,17.4886018625083,2.89035339828497e-05,0.0076844048165014,chr8,86851934,86963312
CTB-51A17.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.308759,0.375856,0.484314,0.374451,0.769193,0.0,0.0,0.645556,0.377973,0.3336102,0.268675725340997,-6.11333551982831,-3.28210334272458,22.8057608963685,1.7922765538392e-06,0.00191499677296906,chr5,13860447,13897880
CTC-339F2.2,0.242574,0.143078,0.547139,0.27034,0.0,0.0,0.314082,0.0,0.189651625,0.193709595707402,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.07885429131039,-4.56564292174464,16.0361493075397,6.21445551749985e-05,0.0107551008281213,chr5,115638051,115639831
CTC-340A15.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.212209,0.0,0.0,1.326532,0.153804,0.144666,0.167562,0.0,0.099544,0.0,0.2104317,0.400621011931351,-5.59312680494329,-3.61439333616929,14.968615799681,0.000109314222622202,0.0138797199840195,chr5,163723702,164598649
CTC-348L5.1,0,0.159546,0.18585,0.0,0.0,0.0,0.280978,0.125277,0.093956375,0.109554753827791,,0,0.0,0.0,0.017185,0.0,0.0,0.0,0.0,0.0,0.0,0.0017185,0.00543437415899936,4.59446694062938,-4.10925723414242,12.588937893672,0.000388036591968857,0.0269741591465487,chr5,160040880,160066190
CTC-478M6.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.344489,0.261217,0.28031,0.474599,0.312742,0.202834,0.147998,0.029559,0.0,0.085986,0.2139734,0.14981420524414,-6.57606692200708,-2.94030623598322,36.8915253603527,1.24887613311867e-09,3.53613032711885e-05,chr19,29281719,29283778
CTC-523E23.14,0.152873,0.0,0.429556,0.291032,0.0,0.139653,0.0,0.0,0.12663925,0.162036635881034,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.40485380308224,-4.47870251760475,11.896760896041,0.000562316432436779,0.0324271051450737,chr19,35393106,35395099
CTC-563A5.2,1.70206,1.043828,1.711596,1.522733,1.746246,0.537331,1.355323,0.0,1.202389625,0.637398220629758,,0.21339,0.624469,1.036945,0.580332,0.113777,0.212016,0.678979,0.264776,0.470213,0.33017,0.4525067,0.282654313553205,1.68968191430238,-1.67860337279062,15.4127085653342,8.64052380374283e-05,0.0123346933905874,chr5,179390615,179391419
CTC-575D19.1,23.433059,6.497509,40.886896,24.249937,6.283387,4.046464,23.927464,7.309307,17.079252875,13.0893679950146,,7.566097,17.716,15.296015,12.470161,4.670824,10.312,7.081873,10.027616,9.206921,2.168878,9.6516385,4.68289544171621,1.20989860225116,2.48223162075064,13.9833170685522,0.000184439926176508,0.0180080147921542,chr5,168043317,168044059
CTD-2184D3.5,0.157387,0.727429,0.874806,0.630583,0.700295,0.418618,0.695455,0.303069,0.56345525,0.244409526950596,,0.21374,0.0,0.358497,0.413839,0.0,0.278876,0.10967,0.220443,0.0,0.0,0.1595065,0.159665907316392,2.41467881449628,-2.38654850390096,15.2829507515318,9.25480652193221e-05,0.0127118921782382,chr15,52348872,52392720
CTD-2184D3.6,1.482636,0.564812,0.371107,0.77398,1.670553,1.510951,4.304321,0.116202,1.34932025,1.32573800898451,,3.36845,2.579217,5.603156,6.364245,5.170673,3.455855,8.344327,3.28199,3.710169,9.745282,5.1623364,2.38547773024302,-1.72724781728441,0.983039355324551,13.0563909694513,0.000302251281721096,0.023478995655122,chr15,52408771,52414328
CTD-2234N14.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.312873,0.0,0.87694,0.333843,0.0,0.0,0.0,0.0,0.813849,0.2337505,0.348699434195842,-5.55298347160861,-3.69374855295276,10.4871412774534,0.0012020822038383,0.0496881117672693,chr11,126989221,127009630
CTD-2275D24.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.265993,0.570301,0.195604,1.545502,0.41476,0.0,0.0,0.0,0.0,0.705972,0.3698132,0.485985500116527,-5.90642073399056,-3.43994050726144,16.4405474392231,5.01998676871893e-05,0.00965472321441333,chr5,73623820,73630591
CTD-2291D10.1,0.139356,0.0,0.0,0.066573,0.101349,0.0,0.085016,0.0,0.04903675,0.0562069852261646,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.02059488825776,-4.1791698253146,15.3090816512834,9.12766392464449e-05,0.0126379090559583,chr19,23229760,23244554
CTD-2308L22.1,0.367492,0.098378,0.06678,0.191967,0.12001,0.339185,0.532091,0.065479,0.22267275,0.171643927837128,,0.499186,1.04015,0.557159,1.878772,1.561653,0.442876,0.927599,0.549283,0.629007,0.685127,0.8770812,0.487703749476348,-1.61889089845014,-0.409329751917637,12.4627272923781,0.000415153336810227,0.0277892651421115,chr2,222437226,222439174
CTD-2369P2.12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,8.197603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8197603,2.59230968338293,-8.45905125391539,-1.32667645997631,11.2230068067687,0.000807894949209057,0.0396754644928571,chr19,10426147,10431354
CTD-2369P2.2,2.004419,0.791321,1.997632,1.311366,1.403575,0.851342,0.696914,0.797749,1.23178975,0.538854540712784,,0.864253,0.420894,1.070467,1.57259,0.460677,0.887546,0.966879,0.777561,0.544333,0.57075,0.813595,0.347231424649965,1.09776595454552,0.312383527188793,11.2839267916816,0.000781810144473598,0.0390394349297674,chr19,10332111,10333870
CTD-2555A7.2,1.155127,0.229012,0.413626,0.268011,0.17231,0.440713,0.990813,0.021258,0.46135875,0.402305332633863,,1.544881,2.166855,2.696388,3.362878,1.553629,1.846263,1.392461,1.629345,1.487487,1.419248,1.9099435,0.651969513067095,-1.78508080351392,0.685511863069076,22.471238143064,2.13313809152167e-06,0.00198028650794722,chr16,89112580,89119373
CTD-3064M3.7,1.500067,0.143156,0.144443,3.51307,0.37167,0.256211,0.195525,1.181078,0.9131525,1.17104332462577,,0.426927,0.403392,0.376026,0.208917,0.070778,0.219585,0.29888,0.175246,0.729902,0.163532,0.3073185,0.188076280975005,2.12205572891083,0.410775921570308,14.0134011338696,0.00018151235333983,0.0179149587621007,chr8,142444645,142448054
CTD-3187F8.15,0.600936,0.042156,0.0,0.52726,0.247016,0.0,0.115988,0.0,0.1916695,0.245379255902252,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.82122534599872,-4.26575819580399,17.7194585191867,2.55994534572908e-05,0.0073177352368322,chr19,51641227,51641891
CTD-3199J23.4,1.940063,3.899226,0.704371,7.44936,7.870502,0.789948,4.639153,1.782465,3.634386,2.84239736818512,,0.853623,1.702309,0.889786,0.985293,1.239004,3.764212,2.377574,1.402083,0.866332,1.313746,1.5393962,0.912336464345839,1.63401158507443,2.31647568112572,14.5757107166426,0.00013463887072937,0.0151579813330685,chr17,41181274,41184051
CYP1A1,0.345429,0.077018,0.249685,0.231221,0.234214,0.181505,0.275412,0.0,0.1993105,0.111427968862656,,0.370465,0.512958,1.636303,1.370627,2.148287,0.350747,1.130173,0.48872,0.401443,0.13802,0.8547743,0.673678938604873,-1.71123973769824,-0.235623086792066,10.7217298895746,0.00105884633048984,0.046481712286286,chr15,75011883,75017951
CYP26B1,7.747747,1.329962,2.113923,0.725358,1.944116,3.271014,6.73846,0.447893,3.039809125,2.75043508155089,,4.782061,17.676828,15.871373,18.257833,8.231042,3.665808,8.088753,9.797494,4.010146,7.071201,9.7452539,5.57352606876733,-1.32258361302044,4.15889655985241,13.1237467129548,0.000291576342249747,0.0231550974544021,chr2,72356367,72375167
CYP4F12,4.161835,1.869594,4.209353,23.215049,0.991226,0.387775,2.871795,0.219497,4.7407655,7.62610955602887,,0.841034,0.873111,2.066816,0.483218,0.030251,0.55249,1.890855,1.846563,0.697984,0.056028,0.933835,0.748035918384643,2.42439901063194,1.57231354925471,19.0741610248806,1.25735764372287e-05,0.00535360195536712,chr19,15783567,15807984
DCAF6,32.650995,14.163535,15.826956,21.64936,15.673227,21.99258,28.2683,5.260301,19.43565675,8.61902934161839,,36.897605,53.444521,48.064706,108.588522,52.154632,38.514702,37.869285,31.474543,47.755086,57.76282,51.2526422,21.8489993509702,-1.06381989426068,6.17457267953004,18.3992387248645,1.79129533398934e-05,0.00622082042088235,chr1,167905021,168045081
DCLK1,71.20234,19.947008,33.323806,65.415244,36.835401,24.097637,56.28249,2.70394,38.72598325,23.8214943816859,,67.542067,165.983326,129.626431,127.061339,60.454525,108.298712,79.10182,77.373879,41.238582,53.186818,90.9867499,40.0426691588186,-1.00747654428758,7.60623828479033,15.1023401722153,0.000101836967791355,0.0131966261992143,chr13,36345478,36705443
DEFA3,1.512607,0.0,0.0,0.0,1.455294,0.452015,0.0,0.894814,0.53934125,0.663729543251456,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.28954361189924,-2.88763767414128,24.4171537244202,7.75748788705444e-07,0.00126689806309549,chr8,6873391,6875823
DIRAS1,21.159007,4.629721,0.847722,5.446683,2.835563,2.951397,16.361463,0.774919,6.875809375,7.61912985564688,,24.947094,8.875955,11.738228,89.977878,36.01772,33.766795,39.569386,29.969919,19.925072,17.258173,31.204622,23.0793756941801,-2.15008573164594,5.16759457852887,10.4986469997808,0.00119461988112459,0.0496199741708609,chr19,2714565,2721416
DIRAS2,70.274979,9.083443,7.625191,8.947971,10.277893,20.951097,36.141071,0.96538,20.533378125,22.7973272768933,,54.987705,128.125244,131.946304,101.44799,50.568443,29.734667,54.168781,46.718285,38.236645,36.828819,67.2762883,38.3794414852579,-1.42684551310795,6.82271090035798,13.49154546805,0.000239640740783681,0.0209746762130434,chr9,93372114,93405386
DLG3,13.928818,4.484321,6.583841,8.510957,9.001846,8.845358,16.63588,1.552299,8.692915,4.83744343067959,,14.608158,35.401964,32.191375,37.035775,16.349157,8.973368,20.449774,15.92734,14.743378,12.390959,20.8071248,10.1972703799436,-1.05067272076545,5.58391058869274,16.9918251527494,3.75411064867744e-05,0.00847921222458258,chrX,69664711,69725337
DLGAP1,36.899806,11.684929,10.441271,9.801361,18.172359,25.35622,48.264054,1.587709,20.275963625,15.6726090062464,,47.218074,62.505431,86.475423,109.980645,52.312957,37.295129,59.782113,34.303211,40.79612,64.015195,59.4684298,23.5365604030154,-1.3348822246204,7.02915578601358,14.4409108559092,0.000144626125522461,0.0157426201807806,chr18,3496030,4455335
DNAJA1P6,0.135832,0.029992,0.085283,0.254809,0.082097,0.0,0.0,0.0,0.073501625,0.0886974594948428,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.76116649214455,-4.66837045455627,13.2110010453138,0.000278310682860315,0.022808184746305,chr22,17997708,17998061
DNHD1,6.47561,4.680479,8.318864,10.515243,4.977554,2.117995,5.346879,1.552494,5.49813975,2.97703629615724,,2.726791,7.154523,6.017378,8.909112,1.247049,4.152096,3.634675,3.085297,3.678383,1.794626,4.239993,2.41992729569768,1.03575010846966,4.14993749438821,21.4359889481497,3.65839517595253e-06,0.0025896407552377,chr11,6518490,6614988
DOCK5,9.051471,13.620949,33.236488,10.600979,10.612639,4.130105,8.0459,2.350316,11.456105875,9.52074232301357,,6.026067,11.90901,8.150906,4.403053,1.935787,9.850453,8.964943,7.344866,6.536435,2.002163,6.7123683,3.25291082323649,1.15383054653959,5.66825470378874,13.6998531670706,0.000214471254093868,0.0195742918041156,chr8,25042238,25275598
DQ-A1,0.946054,5.027251,0.0,0.946864,0.0,0.410506,4.706298,0.0,1.504621625,2.11361195208283,,0.215722,0.0,0.0,0.052492,0.0,0.370055,0.0,0.192575,0.0,0.0,0.0830844,0.130931300800755,4.50050217737716,-0.255277569511514,12.236232150818,0.00046870381727216,0.0294586331501722,GL000251.1,4055571,4061793
DUSP4,1.430169,0.786642,0.694402,0.62656,1.289672,0.231321,1.199329,0.31969,0.822223125,0.445278188586621,,1.700077,7.075809,1.912654,4.920071,1.959542,5.375544,1.922426,2.00598,1.09947,0.441217,2.841279,2.15905014028345,-1.28284249738051,2.61650209197955,12.1421594282656,0.000492946653562465,0.0304085795692689,chr8,29190581,29208185
DYNC1I1,45.495697,11.765361,24.032094,14.338752,25.166996,23.694011,52.394152,2.412893,24.9124945,16.7848465654459,,66.279098,112.977422,120.504113,129.560182,51.953947,48.636515,65.738398,52.421645,45.551858,46.837271,74.0460449,33.397807360227,-1.22832657995361,6.43655797430566,19.8093355512143,8.55637502441276e-06,0.00448647186349509,chr7,95401866,95739634
ECM2,11.489954000000001,10.365454,8.904576,33.349377,5.529856,0.219287,3.836256,1.839772,9.4418165,10.46408773102,,2.521812,5.419713,4.969161,2.59038,1.299862,5.568257,1.930407,2.929532,1.29553,0.363235,2.8887889,1.84084929295309,1.97182758514979,3.43806253024956,19.3386482271686,1.09468075657542e-05,0.00520930055160583,chr9,95256365,95298937
